,description,label
244,Another round of Reflect.parse tune-ups,True
245,Make filter input prettier,False
246,Long strings displayed in the memory tool tree causes the sidebar to collapse,True
247,KeyframeEffectReadOnly objects end up keeping lots of other objects alive too long,True
248,"MemoryActor should use ""runtime: true"" rather than ""debuggees: this.dbg"" when saving snapshots from browser toolbox",True
249,"Assertion failure: v.isObject(), at js/src/jit/MacroAssembler.cpp:1947",True
250,Measuring tool doesn't remove 'mouseleave' event listeners,True
251,Fix some indentation issue in ServiceWorkerManager,False
252,[EME] Shaka player ClearKey demo doesn't work in Firefox,True
253,"media/libav/libavutil/mem.c:34: /usr/include/malloc.h:3:2: error: ""<malloc.h> has been replaced by <stdlib.h>""",True
254,Text shadow of emphasis marks should use the color of the shadow,True
255,MSE with trick mode DASH adaptation freezes playback on Firefox,True
256,[GTK3] Dropdown menu at wellsfargo.com is unreadable (text is pushed too far down & clipped),True
257,"""Assertion failure: !Failed(), at ErrorResult.h:103"" - mozilla::dom::AbortablePromise::DoAbort",True
258,[Static Analysis][Unchecked return value] Function CacheStorageService::DoomStorageEntries from CacheStorageService.cpp,True
259,"Assertion failure: shouldYFlip || srcStride != dstStride (Performance trap -- should handle this case earlier to avoid memcpy), at dom/canvas/WebGLTexelConversions.cpp:381",True
260,Enable layout.css.text-emphasis.enabled by default,False
261,Remove the nursery performance cliff caused by putting large arrays in the WholeObjectBuffer,True
262,Change FrameActor to protocol.js,False
263,Intermittent browser_animation_timeline_scrubber_moves.js | This test exceeded the timeout threshold. It should be rewritten or split up.,True
264,test for bug  1233598,False
265,libmozavcodec not loaded on mac.,True
266,[WebGL2] pass getFramebufferAttachmentParameter in gl-object-get-calls.html,True
267,"Assertion failure: message, at js/src/jscntxt.cpp:818 with OOM",True
268,fetch() function not always applying Headers to outbound requests.,True
269,"For HTML elements in HTML documents, NamedNodeMap should only have lowercase property names",False
270,[Static Analysis][Uninitialized scalar field] In function js::FutexRuntime::FutexRuntime from AtomicsObject.cpp,True
271,Crash [@ ObjectType] or Crash [@ CanInlineSetPropTypeCheck] with use-after-free,True
272,Stop using ICU's autoconf build system,False
273,Implement LinkStyle for SVGStyleElement interface,False
274,createImageBitmap ends up throwing wrong exceptions,True
275,CSS bug with mouse over effect,True
276,KeyframeEffectReadOnly constructor crashes when the target element does not have the parent?,True
277,Annotate addonId into crash report,False
278,It's hard to read text on Error pages in iframes (first letters in each row are completely clipped),True
279,Panning and zooming an input field when it gains focus has too much latency in Fennec,False
280,[DevTools][Memory] The cursor type is not I-beam when the mouse pointer is over the heap-view,True
281,VR HMDs should create their own VsyncSource; widget/etc. should keep track and switch to listening to them,False
282,"Assertion failure: result ([OOM] Is it really infallible?), at js/src/ds/LifoAlloc.h:281 with BacktrackingAllocator involved",True
283,"###!!! ASSERTION: Null pres shell: 'mShell', file ../../dist/include/nsPresContext.h, line 171",True
284,implement KeyframeEffectReadOnly spacing modes,False
285,Use BlockDuration (when available) rather than estimating frame duration,False
286,"Wave Decoding on problematic files, and 6-8 channel files",True
287,Swapping docShells doesn't work for regular browser elements,True
288,crash in mozilla::detail::RefCounted<T>::Release while PopClip in D2D,True
289,Fix OOM handling in usages of GlobalObject::maybeGetIntrinsicValue,True
290,"Assertion failure: hasOptimizations(), at js/src/jit/CompileInfo.h:168",True
291,"Assertion failure: box->initialHeap() == initialHeap(), at js/src/jit/MIR.h:3460",True
292,Continue showing AccessibleCaret when scrolling or panning the page,False
293,Ensure Accelerated Canvas on Mac happens only on 10.7 or later,True
294,crash in mozilla::AccessibleCaretEventHub::HandleTouchEvent,True
295,Implement basic DOM bindings for Servo,False
296,Remove NS_SUCCESS_I_DID_SOMETHING,False
297,"100% reproducible AsyncShutdown crash: ""SessionFile: Finish writing Session Restore data""",True
298,get rid of HTML table CacheChildren,False
299,No need to reset mReader in ~MediaDecoderStateMachine(),False
300,Move resource files in layout/style/ into res/ directory,False
301,Unfocused text color in light theme has very low contrast,False
302,Crash [@ EncodeLatin1] with OOM,True
303,Do not compress forward-icon in the default theme on Windows 10,True
304,Stack Exhaustion starting at xul!_moz_cairo_region_create_rectangles,True
305,MOZ_MUST_USE treats expressions evaluating to lvalue references as MUST_USE,False
306,Regression: distribution setting user prefs instead of default prefs,True
307,Switch the AutoEntryScripts in nsDirectoryViewer to take ownership of error reporting,False
308,Graphite 2 vm::Machine::Code::estimateCodeDataOut underestimation leads to buffer overflow,True
309,Remove AutoJSAPI::InitWithLegacyErrorReporting,False
310,about:home (homepage) doesn't switch to overflowed mode when it's loaded in a narrow content area,True
311,simplify and cleanup ServiceWorkerInfo,False
312,IonMonkey: MIPS: Detect Loongson at runtime,False
313,accessible/windows/msaa/AccessibleWrap.cpp(1528): warning C4312: 'reinterpret_cast': conversion from 'const LONG' to 'void *' of greater size,True
314,JS JIT tests failing on VS2015 builds due to missing universal CRT DLLs,True
315,graphite2: use of uninitialized memory in [@graphite2::vm::Machine::run],True
316,Firefox 45 fails to send Cookie header with XHR post requests done from a web worker when third-party cookies are blocked,True
317,Use curly quotes instead of single quotes in our user facing strings,False
318,"Intermittent browser_computed_search-filter_clear.js | This test exceeded the timeout threshold. It should be rewritten or split up. If that's not possible, use requestLongerTimeout(N), but only as a last resort. -",True
319,Don't fallback to Desktop GL via WGL when ANGLE fails on Windows,True
320,Clean up getCurrentCensusTaker style,False
321,Fix image/test/mochitest/test_animation2.html to test what it is intending to test,True
322,"Avoid WARNING: NS_ENSURE_SUCCESS(rv, rv) failed with result 0x80040111 in dom/base/nsFrameLoader.cpp during startup",True
323,Avoid JavaScript strict warning in AppsUtils.jsm during startup,True
324,Image loads for URLs that fail to resolve don't dispatch error event,False
325,SRI: implement require-sri-for resources (enforce Subresource Integrity),False
326,don't rely on the views we stash when we destroy a subdocument frame to stick around,True
327,service workers should check for devtools http testing option on top window,True
328,Suggestions twitch when I edit string in location bar,True
329,crash in nsHTMLEditor::SplitStyleAbovePoint,True
330,test_animations_with_disabled_properties.html and test_transitions_with_disabled_properties.html are going to permafail when Gecko 48 merges to Beta (TypeError: display.getAnimations is not a function),True
331,Change app.update.promptWaitTime preference to 8 days on the release (includes beta) and aurora channels,False
332,implement ServoStyleSet::ResolveStyleForNonElement for text nodes,False
333,Give fullscreenElement and fullscreenEnabled attributes a dummy setter rather than making them readonly,False
334,nestegg: use-of-uninitialized-value in [@ne_find_cue_point_for_tstamp],True
335,Send invalidations for the first image frame properly,True
336,Integer reflected attributes on elements cannot store INT32_MIN,True
337,Reduce media threadpool size,False
338,[Decoder Doctor] Default-enable notifications for WMF-missing on Nightly 49,False
339,Binary Key Support,False
340,_getSearchEngineId's fallback to the engine name can leak user data,True
341,Use Immutable data structures in messages reducer,False
342,Move GenerateCSSPropsGenerated.py invocation to moz.build,False
343,make alerting for changes in num_constructors more agressive.,False
344,Add OS to Sync user agent string,False
345,Elucidate reference counting of SharedImmutableStringsCache,False
346,"Supporting ""display: -webkit-flex"" as an alias for ""display: flex"" (and associated properties)",True
347,Audit frame iterators for saved frame chain removal,False
348,crash in igd10*.dll,True
349,Use DOMWindowCreated instead DOMContentLoaded to propagate the userContextId from content to parent process,False
350,Rename RegionBuilder::Or to RegionBuilder::OrWith,False
351,"When inserting a link into HTML composition, the text part sometimes gets linkified upon send resulting in a double link. Regression from bug 964024.",True
352,"75% permafail on WinXP test_outerHTML.xhtml,test_picture_mutations.html,test_picture_pref.html,test_pointerPreserves3D.html,test_pointerPreserves3DClip.html,test_resource_timing.html, | application timed out after 330 seconds with no output",True
353,Add sdp for video FEC,False
354,Have MozBoot support msys2,False
355,Fix -Wshadow warnings in dom/media/ogg/,True
356,HTML Tooltip keeps the focus after being hidden,True
357,Improve existing bookmarks tracker tests,False
358,[RTL] The search go arrow should point left,False
359,Show JS stack traces of Fetch requests in Netmonitor,False
360,pixman: integer overflow in create_bits function,True
361,Remove run-time Mavericks checks in nsAppShell.mm,False
362,Rename all our JSContext stuff to be nicer,False
363,Bootstrap out-of-process PCompositorBridge,False
364,Implement the step attribute for <input type=month>,False
365,Disable paint-skipping for elements with the CSS clip property,True
366,"Add functionality in ARIAMap to use integer index instead of a raw pointer for role map entries, and change the Accessible class to use this index for its role map entry variable",False
367,heap-use-after-free in nsNodeUtils::NativeAnonymousChildListChange,True
368,Replace |nsiSupports owner| with |nsIPrincipal triggeringPrincipal| within nsIDocShell,False
369,Ensure ScrollMetadata::sNullMetadata is initialized in the GPU process,False
370,Replace ownerGlobal with ownerDocument.defaultView in devtools frontend,False
371,[wasm] Debugger source view hang at removeBreakpoints when viewing AngryBots,True
372,Update media telemetry probes expiring in Firefox 50.,False
373,Add an ISurfaceProvider for single-frame images that also serves as an IDecodingTask,False
374,"Fix e10s issues in resending HTTP requests, enable browser_net_resend.js test",True
375,"2.87 - 5.19% damp  (windows7-32, windows8-64) regression on push 0372c7296be3197d796edadfa6a13197d1019024 (Sat Aug 6 2016)",True
376,"many WorkerHolder classes expect to get Terminated status, but HoldWorker() does not fail if worker is already Terminated",True
377,[e10s-multi] unexpected pass in browser_forgetaboutsite.js with multiple content processes,True
378,"jslock.h is dead, long live jsnspr.h",False
379,"avoid compiling {Read,Write}Sentinel calls in non-sentinel checking builds",True
380,sourceeditor setAutocompletionText could be faster,False
381,Add smooth scrolling when clicking on closing tag of expanded node,False
382,Clipboard (Paste /Copy function) does not work on this release  (MacOS),True
383,Big slowdown happening every x minutes,True
384,Venmo.com doesn't accept auto-filled username and password on login form,True
385,Deploy Infernyx 0.2.16,False
386,Update help icon to photon styling.,False
387,Add flag to IsSafeModeRequested that skips key press checks,False
388,Enable the launcher process by default on Nightly,False
389,DevTools tab reordering is not working in RTL locales,True
390,Trying PIP mode after an unsuccessful other crashes the app,True
391,"[Linux]Suggested list closes when trying to navigate through the one-offs using ""ALT"" key + ""↓"" arrow key",True
392,Slotted nodes not being displayed in a shadow DOM tree if the node is a text,True
393,Use fluent for about:restartrequired,False
394,Private active tab not shown correctly on iPad with the latest private mode changes,True
395,Migrating Pocket off any bootstrap code,False
396,Address bar does not autofill unvisited bookmark URLs,True
397,Re-enable the NUMBER_OF_PROFILES probe,False
398,Enable multiselect tabs feature on early beta builds,False
399,"When notifying listeners that a study is ending, include the reason why the study is ending",False
400,Clicking remove on a study in about:studies doesn't work,True
401,Link to the new content blocking onboarding from about:privatebrowsing when the CB UI is enabled,False
402,Remove vswhere binary from the tree,False
403,Devtools flickering,True
404,"Unable to adjust height, and width of devtools window (Firefox-Nightly)",True
405,Review mechanism to update actors spawned in parent process after a browser-swap,False
406,Add indicator for which window has a sound-playing tab in Taskbar window popup,False
407,Window isn't restored in prior position on external-monitor with > 100% DPI,True
408,Unable to open Nightly for Android,True
409,Crash when turning off a11y during auto-fill,True
410,Unable to log into any google services with GeckoView,True
411,[META] improve about:addons usability,False
412,annotate Windows crash reports with whether system has error-correcting (ECC) RAM (MemoryErrorCorrection),False
413,26KB base content JS memory regression from bug 1483002,True
414,GeckoDriver broken on mingw build,True
415,Remove xpt.py,False
416,"Remove support for ""annotations"" options to PlacesTransactions.NewBookmark/NewFolder/NewLivemark",False
417,XCUITests: ActivityStream tests failing intermittently,True
418,Fennec x86 dosen't build with NDK 16+,True
419,[remote-dbg-next] Internationalize components/debugtarget/ExtensionDetail.js,False
420,Unaligned title in Data Managment menu,True
421,Wrong project name in README.md of focus-ios,True
422,Re-enable clang-cl warnings in gfx/gl/,False
423,GV API to selectively delete user data using GeckoSession (Clear User Data API),False
424,PrioEncoder/libprio hitting assertion in freebl/ctr.c,True
425,Default cookie restrictions broke Fx Accounts signup page,True
426,Sync isn't working,True
427,crash tab when i write js comment,True
428,Just updated to 62.0 64 bit and my internet explorer bookmarks are gone. I read the statement about being removed on the next update but theyre gone now,True
429,Implement galeon-style smart bookmarks toolbar,False
430,Make GeckoDisplay and PanZoomController constructors protected,False
431,Firefox password Not update in new version,True
432,0.79% installer size (osx-cross) regression on push 238267dc78ec3dd4bbf2f996bea4e877547e69e8 (Fri Sep 7 2018),True
433,"Forced crash with MOZ_CRASH(""Shutdown hanging before starting."")",True
434,Compare FF60 with FF63 Talos results,False
435,[Regression] Top sites view is broken after removing a top site,True
436,Investigate removing the lresolv hack for Rust builds on MacOS,False
437,Update pdf.js to version 2.0.843,False
438,Crash in IPCError-browser | ShutDownKill,True
439,Invalid CH.legacy_version is not rejected in TLS 1.3,True
440,Extra space is displayed in Custom Tab toolbar,True
441,The bookmarks bar is not recalculated after installing an extension,True
442,quote() fails when explicitly disabling features in JS build,True
443,[Mobile SDK] Sketch out the API,False
444,Re-implement Places Autocomplete results timing telemetry,False
445,Hook up the new Address Bar to BrowserUsageTelemetry.jsm or re-implement,False
446,Crash in ExpandedPrincipal::SubsumesInternal,True
447,Migrate add-on studies from remote action storage,False
448,ci-admin unit tests failing,True
449,Teach |mach bootstrap| for Fennec to find the JDK on its own on Gentoo,False
450,Show time in flame graph in performance devtools,False
451,Remove MinGW-gcc build jobs from -central,False
452,Migrate baseMenuOverlay.dtd to Fluent,False
453,Startup crash for local fuzzing builds when running libfuzzer,True
454,Send and Bookmarks Icons in Menu do not resize (Reproducible),True
455,Did not receive Try push notification emails,True
456,"'Security wrapper denied access to property ""supportedNetworks""' of BasicCardRequest but access to the containing object is allowed",True
457,Revamp about:buildconfig,False
458,Support final AV1 MP4 MIME type,False
459,Browser Console locks up the browser under heavy load,True
460,Addon menu items disappear frequently,True
461,The startup process time has doubled from ESR 52.9 to ESR 60.2,True
462,Proxy Auto configuration file issue with Version 62.0 on Mac OS (only),True
463,Use new ADB extension in WebIDE,False
464,libxul.so related segfaults when firefox is killed during #1491318,True
465,Implement webRequest.onActionIgnored,False
466,Update pdf.js to version 2.0.854,False
467,Remove the XPCOM registration for nsNativeAppSupportBase,False
468,Use clang 7final to build firefox & clang-tidy,False
469,Ensure engines with overridden telemetry names correctly report their validation results,False
470,[meta] Rewrite the internal configuration user interface (“about:config”) using web technologies,False
471,Create an HTML mockup for the internal configuration user interface,False
472,"Add telemetry to improve the understanding of current ""about:config"" usage patterns",False
473,[meta] Reduce useless about:blank document creation,False
474,Remove tmpDir initialization from InitOSFileConstants,False
475,Consider Node.js tooling for minifying JavaScript,False
476,[meta] Fission for the front-end,False
477,Add eMudhra Technologies Limited root certificates to NSS,False
478,Remove old updates UI,False
479,Require rust 1.31,False
480,Add support for nested GeckoRuntimeSettings,False
481,privatebrowsing support for find api,False
482,about:support is not localized any more,True
483,Pref on ASR Snippets for 65 Beta and Release,False
484,Build compiler-rt libs for android x86 and aarch64,False
485,Enable Activate the Whatnew page on Nightly for a day,False
486,"[Content Blocking] Blue label from Tracking list in ""Show site information"" is hardly visible on High Contrast mode",True
487,"Flexbox layout panel doesn't get populated  when an element dynamically gets ""display:flex"" styling via e.g. media query starting to apply",True
488,DnD not working tabs and text Nightly 66,True
489,Add documentation for about:debugging tests,False
490,Perma dt browser/base/content/test/static/browser_parsable_css.js | Got error message for chrome://devtools/skin/webconsole.css: Unknown property ‘overflow-anchor’. Declaration dropped. - when Gecko 66 merges to Beta on 2019-01-21,True
491,Extend the lifetime of some more performance probes to never expire,False
492,Use debian9 build image for running the profile in 3-tier PGO for linux,False
493,Wikipedia searchplugin for zh-TW is broken,True
