,label,description
0,True,Changing an AC_DEFINE'ed variable in configure.in can require clobbers for preprocessed files
1,True,Panning in metrofx appears accelerated
2,False,Add a way to set the kAudioHardwarePropertyRunLoop property  on OSX only once per process
3,True,Nightly constantly crashes [@ audiounit_property_listener_callback] when I enter a room in VidyoDesktop
4,True,Add HE-AAC support to MP4Reader
5,False,"Filter out expired issuer certificates within mozilla::pkix, instead of relying on NSS's CERT_CreateSubjectCertList to do it"
6,False,Try enabling the profiler tests on non-debug builds
7,False,configure: line 16243: MOZ_FMP4: command not found
8,True,RegExp.$N changed behavior since FF 33
9,False,Add scroll start/stop notifications from apz to scroll observers
10,False,[10.10] [UX] Investigate updating hover state for buttons in the tabstrip
11,False,Add support for specifying the font smoothing background color to Moz2D
12,False,Trickle candidates are not reliably incorporated into local SDP (in the PeerConnection)
13,True,"[Remove], [Remove all] by mouse are broken in sub-dialog"
14,False,Don't assume FrameMetrics and APZC objects are only on ContainerLayers
15,False,Enable MP4Reader on Windows
16,True,"[FTU][Import Contacts] Facebook, Gmail, and Outlook contacts are not available when connected to WiFi or Data during FTU"
17,False,[CSS Filters] Add a rendering test for blur radius in ems and rems
18,False,Disable all ADB helper logs with debug pref
19,False,"Refactor MSE tests, introduce mediasource.js shared functions"
20,False,Add mfbt/JSONWriter.h and use it for memory reporting
21,False,dexpcomify remaining accessible classes
22,False,make marker times start at consistent epoch
23,True,checkSizing() and onPageFirstSized() cause uninterruptible reflows
24,True,SettingsLock objects leak by only calling destroyDOMRequestHandler during inner-window-closed
25,False,Build more DOM code in unified mode
26,True,Re-export emit from protocol.js
27,False,Tracelogger: Create the hooks for Debugger
28,False,Add a --fix-stacks option to dmd.py
29,False,Split up the GC helper thread into separate and independent HelperThread tasks
30,True,"Builds with ""ac_add_options --disable-accessibility"" are broken, with ""AttributeError: 'NoneType' object has no attribute 'filetype'"", due to PContent.ipdl including PDocAccessible"
31,True,Race condition in settings api during app shutdown
32,False,Logical coordinate support for relative positioning
33,False,UI review for bug 1054959 (Add 'send videos' and 'send tabs' from desktop to a second screen)
34,True,[e10s] Tabs appear to crash during system shutdown
35,True,Composition string doesn't appear after forcibly commit composition by moving focus on Linux
36,False,Use flags to define which about: and chrome: URIs should be loaded in the content process.
37,False,Expose an API to track DOM Promise which are left uncaught
38,False,Port all code using nsRenderingContext::SetLineStyle/nsLineStyle to Moz2D
39,False,Use inline data for small transparent typed objects
40,False,Rename the snapping variant of NSRectToRect to NSRectToSnappedRect
41,True,Omnijar.cpp:62:47: warning: self-comparison always evaluates to true [-Wtautological-compare]
42,False,Pass nsFontMetrics objects through to code that needs it instead of storing it on the nsRenderingContext
43,False,Add the ability to mirror tabs from desktop to a second screen
44,True,Intermittent test_input_color_picker_popup.html | Test timed out. - expected PASS
45,True,Negative selection hides the overview graph's mask
46,False,ImageBridgeChild thread's priority is not high enough on gonk
47,True,[non-e10s] twitter web UI (twitter.com) scrolls up unexpectedly at doing RT or showing image
48,False,Mochitest for making sure loadedmetadata event is fired as early as possible
49,False,incorporate the text-orientation value into mozilla::WritingMode
50,True,lazyRequireGetter incorrectly bound to main loader
51,False,add MOZ_OVERRIDE annotations to subclasses of gfxFont
52,True,"For MacOS builds running on Valgrind, make ThreadStackHelper::GetStack be a no-op"
53,True,Direct2D 1.1 doesn't clean up well after itself
54,False,Create UITour event framework
55,False,I see a support file in a test manifest which results in a warning
56,False,SIMD test cases: implement int32x4.bool test case
57,True,"When I add CSS with a :first-letter pseudo-element (even w/o declaration), Firefox 34.0 shows scrollbars."
58,False,Line box boundaries is incorrect for vertical text
59,True,test_tone.cpp failed with new Bionic branch for ICS devices on B2G
60,True,"Assertion failure: maybecx->runtime()->hadOutOfMemory, at jscntxt.cpp"
61,True,"Assertion failure: addr.offset == 0, at jit/arm/MacroAssembler-arm.h"
62,False,convert all in-tree style sheets logical properties from -moz-padding-start etc. to padding-inline-start etc.
63,True,Reftest fails on tests for bug 1087872 on Windows
64,True,Space key included in a keyword disables search engine
65,True,[e10s] youtube video overlay from other pages when playing HTML5 video fullscreen
66,True,Broken HTTP/2 dependency stream ID
67,True,Intermittent could not determine packageUrl property to use against sendchange. Was it set after 'mach build'?
68,True,MSVC2012 bustage - security\pkix\include\pkix/Input.h(127) : error C2059: syntax error : ';'
69,True,"""Assertion failure: phi->hasUses() (Missed an unused phi)"" on asm.js testcase"
70,False,Preferences for app.update should handle onchange event
71,False,add support for axis-relative and non-shorthand box-edge logical properties
72,True,"Refresh animation player widgets if duration, delay or iterationCount change."
73,False,Remove the need for hacky skipgen worker descriptors
74,False,"Mark ParentObject as stack class, and its mObject member as nsCOMPtr; r=smaug"
75,False,Root Gradle configuration in srcdir rather than objdir
76,False,Clean up listTabs promises
77,True,Check if we have a downscaler before using it to avoid assertions when decoding progressive JPEGs
78,True,Graphical glitch during animation
79,True,Rooting hazard in CClosure::Create()
80,True,[Text Selection][Browser] The page scrolls down during text selection
81,True,Keep destroying the toolbox even if a panel fails
82,True,"XSS when pasting from other app into contenteditable field, with SVG <animate>"
83,True,Failure to display images after imgFrame::mOptSurface is cleared
84,True,"""Assertion failure: !zone->isPreservingCode()"""
85,True,[Nuwa] wrap pthread_mutex_trylock
86,False,Make Restyle label splitted based on element id and log the callstack from javascript if available
87,True,Absolute child element should not be selectable if parent has -moz-user-select: none
88,True,Fix mFileStatus ordering in CacheEntry::Load
89,False,"Replace {INCREMENT,DECREMENT}_RECURSION_LEVEL in pldhash.cpp with an RAII class"
90,False,Simplify new object cache allocation
91,True,Samples column doesn't have enough space for the label
92,False,Turn on the debugger whenever the devtools are opened
93,True,[EME] ClearKey doesn't work on MacOSX
94,False,SIMD: Factor template objects within a compartment
95,True,"Intermittent parse-a-sizes-attribute.html | <img srcset=""data:,a 300w, data:,b 301w""> ref sizes=""100vw"" (standards mode) - assert_unreached: ref currentSrc was null Reached unreachable code"
96,True,"[e10s] ""View Image/Video"" in remote browser causes unsafe CPOW usage warning"
97,True,Type confusion in HTMLSourceElement::BindToTree
98,True,ruby-align: space-between with strange render
99,True,InContent Prefs - Don't allow text selection of categories
100,True,Building with --enable-ipdl-tests fails
101,False,Move ThreadSources into its own devtools-wide file
102,False,FlameGraph's destroy function should be async
103,True,Unified build failure in GMPVideoDecoder
104,False,Atomic byte operations on x86_64 need not pin any registers at all
105,False,New tab user onboarding for sponsored suggested tiles
106,True,Buffer overflow xml parser
107,True,Flexbox appears to use an inefficient rendering algorithm which causes massive browser load for a relatively small number of nested flex items.
108,False,Some mochitest checks don't handle removed tracks properly
109,False,Add a test for passing Request objects to DOM cache match methods
110,False,don't use QueryInterface when the compiler can do the cast for us
111,False,Update the way Firefox reads directoryLinks.json sent from the server for the tiles v3 endpoint
112,False,create nsIURIClassifier.ClassifyLocalWithTables
113,True,js::StringifySavedFrameStack doesn't put the string in the cx's compartment like it promises
114,True,A variant of Bug 1144988 lets one bypass same-origin policy
115,True,Disabling an m-section doesn't tear down the ICE stream
116,False,Add OS X shell builds to Treeherder
117,False,IPC Proxy for HyperText
118,False,"Clean up SetInlinePropertyOnTextNode, GetInlinePropertyBase, RemoveInlinePropertyImpl, GetComputedStyle, IsCSSInvertible, Get*Property, GetCSSInlinePropertyBase, etc."
119,True,APZCs can be leaked when a compositor shuts down
120,True,Various DOM manifest mochitests are going to permafail when Gecko 39 merges to Aurora
121,True,"Assertion failure: !realParent || realParent == cx->global() || realParent->isUnqualifiedVarObj(), at js/src/jsfun.cpp:2145"
122,False,Remove uses of nsIProgrammingLanguage::JAVASCRIPT2 from Console.cpp
123,False,"Replace ""Logical"" w/ ""FlexRelative"" in flexbox functions/comments about [main-axis,cross-axis] positions & sizes"
124,True,[Flame][Email]It may enter the next adjacent folder when you want to enter one of the folders in Inbox view.
125,False,"Bring NativeDefineProperty up to ES6 [[DefineOwnProperty]] standard behavior, with one exception for resolve hooks"
126,True,Asynchronous Plugin Init crashes due to invalid NPStreams
127,True,[jsdbg2] Post a runnable to fire the onGarbageCollection hook
128,False,[css-grid] Implement Static Position of Grid Container Children
129,True,Crash [@ ??] with SIMD swizzle
130,False,Add profiler timeline markers for HTML/XML parsing
131,True,"Child abort on send signature @ mozilla::dom::PStorageChild::SendPreload(nsCString const &,unsigned int const &,nsTArray<nsString> *,nsTArray<nsString> *,nsresult *)"
132,False,"Length properties of (Weak){Map,Set} constructors should be 0"
133,True,social buttons are too large
134,True,leaks in GStreamerFormatHelper
135,True,"Stop leaking DeviceSuccessCallbackRunnable objects, and release its mOnSuccess and mOnFailure on the main thread if needed"
136,True,"Intermittent media-source/mediasource-redundant-seek.html | Test redundant fully prebuffered seek - assert_equals: Event types match. expected ""seeking"" but got ""timeupdate"""
137,True,The NSS_CheckVersion function is not accessible in the NSS library that is installed alongside newer Firefox releases.
138,True,SVG text on a path fails to render with vertical writing mode
139,False,Implement UXTH in the ARM simulator
140,True,"Assertion failure: ""Shouldn't have prev lines"" with ruby"
141,True,TabChild should initialize ServiceWorkerManager before starting the first loading
142,False,Use different icon for locally built Firefox vs. official Nightly
143,False,Style guidelines: a spidermonkey can't change its spots
144,False,Make BaseProxyHandler::getPropertyDescriptor not-pure virtual
145,True,Skip AccessibleCaret frame if nsDisplayListBuilder doesn't build caret
146,True,touchend event on media element is not sent if element is hidden on touchstart
147,True,./mach gtest GeckoMediaPlugins.* fails when run in a docker container
148,True,fix AtkHyperlink::GetStartIndex
149,True,Resizing performance tool doesn't not maintain selection accurately
150,False,We need better error reporting for malformed msids
151,False,The directional caret should point in the opposite direction of what backspace will do
152,False,remove box-sizing: padding-box
153,False,Merging the final update message should take pinned status of the closed tab into account
154,False,Handle return values of FallibleTArray functions in dom/
155,False,"Add an API for reading window contents using the OS, rather than the compositor backbuffer"
156,True,OpenH264 appears to send STAP-A aggregation packets in mode 0
157,False,Re-enable (post experiment) Windows / OSX Core location provider on Nightly/Aurora
158,False,Add nice intro/descriptive helper tooltips for the different details view tabs
159,True,if the layer we hit doesn't have an apzc (and no ancestor does either) search the tree for the root apzc with the same layers id
160,True,"Assertion failure: item->isKind(isImport ? PNK_IMPORT_SPEC : PNK_EXPORT_SPEC), at frontend/NameFunctions.cpp"
161,False,Implement (Worker)SourceActor.source
162,True,New Gecko selection carets cannot reverse their positions
163,True,LocalStorage inspector does not show all key-value pairs
164,False,Make mozbuild's setup.py work
165,True,Packaged app channels are created for !// in URL query
166,True,Set bottom left/right radius values for Title bar
167,False,"make getText{At,After,Before}OffsetCB work with proxies"
168,False,ARM64: Add build support
169,False,Telemetry for percentage of password fields on safe/unsafe pages
170,True,Reftest failures on GTK3 due to native theme background
171,True,"Packaged app's (app://) JS files are not loaded and do not trigger ""onfetch"" handler"
172,False,Update libjpeg-turbo to version 1.4.2
173,False,[UX] Create design spec for final onboarding assets for tracking protection in private browsing mode
174,False,"[css-grid] Implement ""Implied Minimum Size of Grid Items"" (special min-width/height:auto behavior)"
175,True,Synthesis of native mouse scroll events is incorrect on GTK3
176,False,Source Map Controller/Renderer/Orchestrator
177,True,[non-e10s] The update process doesn't work within about:serviceworkers in non-e10s mode
178,False,replace Compositor::PrepareViewport with projection info stored on render targets
179,False,don't measure size of decorations for override-redirect windows
180,False,Make Chaos Mode affect PLDHashTable's iterators
181,True,Builtin accessor functions must be named 'get foo' or 'set foo' (where 'foo' is the name of the property used to access the accessor)
182,False,Implement one-off searches from Awesomebar
183,True,"crash in mozilla::MediaPipelineFactory::CreateMediaPipelineReceiving(mozilla::JsepTrackPair const&, mozilla::JsepTrack const&, unsigned int, mozilla::RefPtr<T>, mozilla::RefPtr<T>, nsAutoPtr<T>, mozilla::RefPtr<T> const&)"
184,True,[Page Not Found] Learn More for Tracking in about:preferences#privacy
185,False,Eliminate nsIPrincipal::cookieJar
186,False,Investigate refactoring bytecode compilation
187,False,Use channel->asyncOpen2 in parser/htmlparser/nsExpatDriver.cpp
188,True,"2,000 instances of ""Called close() before start()!: 'mStarted'"" emitted from dom/workers/MessagePort.cpp during linux64 debug testing"
189,False,[meta] Performance Tools Fx42
190,True,cloned image node omits naturalWidth and naturalHeight properties
191,False,[GTK] nsGtkIMModule should be renamed to mozilla::widget::IMContextWrapper
192,True,WebSocketChannel accesses nsDocShell and nsDocument off the main thread
193,False,Replace nsBaseHashtable::EnumerateRead() calls in image/ with iterators
194,False,Replace nsBaseHashtable::EnumerateRead() calls in dom/quota/ with iterators
195,False,ARM64: Move Lowering's visitConstant() to shared code
196,False,Remove Decoder::GetDecodeTotallyDone()
197,False,Remove unused epoch time from RunFrameRequestCallbacks
198,True,"17.96% regression on browsermark 2.1, graphics SVG on July 22th, 2015"
199,False,Refactor service worker management code and implement limited lifetime for service workers
200,True,Elements flash/disappear on specific webpage
201,True,Missing bounds check causes memory-safety bug in ProgramBinary::linkAttributes
202,False,Drop subscriptions for a site when the user revokes push permissions
203,True,Set MOZ_CURRENT_PROJECT in post-build automation steps on universal builds
204,True,Fix insufficient includes in MediaEventSource.h
205,True,none-ion compile errors: invalid static_cast from LNode
206,True,"Assertion failure: this->is<T>(), at jsobj.h"
207,True,Fix dom/media/platforms/wmf/ compilation on mingw.
208,False,Use channel->ascynOpen2 toolkit/components/url-classifier/nsUrlClassifierStreamUpdater.cpp
209,False,remove PR_snprintf calls in intl/
210,False,Enable -Wshadow in directories that have no -Wshadow warnings
211,True,Intermittent test_peerConnection_basicAudioVideoNoBundleNoRtcpMux.html | Test timed out or PeerConnectionWrapper (pcRemote): legal ICE state transition from new to failed
212,True,shutdown crash in nsIPrincipal::GetAppStatus()
213,False,FxOS Geo Stumbling: refactor for independance of GonkGPS code
214,True,Toolbox can't be closed after setting a breakpoint
215,False,Various APIs should return same ServiceWorkerRegistration object with js equality
216,True,"""Stop Sharing"" in gUM in-use doorhanger doesn't revoke persistent permissions in different-domain iframe"
217,True,HTML5 Video on YouTube are not playing with FF 41 beta 7
218,False,[UX] need UX for hijacking recovery
219,False,Please disable e10s in aurora
220,True,[dev theme] Back button in the toolbar has additional border when tab history is expanded
221,True,PDF.js doesn't print barcode labels in PDF
222,True,Changing properties of a new bookmark while adding it acts on the last bookmark in the current container
223,False,Use channel->asyncOpen2() in dom/xul/XULDocument.cpp
224,True,colors that are set to CSS variables do not obey browser.display.document_color_use (breaks in-content pages in high contrast mode)
225,False,Audit the callers of the two-argument OriginAttributes constructor
226,True,WebGL 2 - GetQuery returns wrong query.
227,False,Remove the release-mode IsCallerChrome assertions from nsDOMWindowUtils
228,True,"Intermittent e10s browser_ctrlTab.js | Ctrl+Tab -> Ctrl+W removes one tab - Got 4, expected 3"
229,True,mach build faster doesn't update resource:///modules/MigrationUtils.jsm
230,True,"crash in mozilla::AudioChunk::SliceTo(__int64, __int64)"
231,True,Channelwrapper: Fix up maybeWrapChannel to wrap if not gecko internal channel
232,False,unsafe CPOW usage from non-addon code should throw
233,True,StructuedClone of ImageBitmap is actually transfer underlying Image which is not right.
234,True,Fix clang's -Wimplicit-fallthrough warnings in gfx/ipc/GfxMessageUtils.h
235,True,Crash [@ js::jit::AutoWritableJitCode::AutoWritableJitCode] with OOM
236,False,Remove the Request.context specific bits from fetch-request-resources.https.html
237,True,Can't reload the toolbox on windows 10
238,True,NS_ERROR_UNEXPECTED when reading heap snapshot
239,False,Style heap view
240,False,ServiceWorkerInfo should be an XPCOM object.
241,True,In-memory blobs over 1MB can't be played in a media element
242,True,Fix jarid in appcache after bug 1032254 landing
243,False,clarify ownership relationships for creators of AudioData
